ID	Latitude	Longitude	index	sensor_id
400031	37.787056	-122.196191	1	400031
400040	37.294949	-121.873109	2	400040
400049	38.015508	-121.992782	3	400049
400069	37.385758	-121.977493	4	400069
400071	37.567395	-122.26939	5	400071
400083	37.839128	-122.264826	6	400083
400084	37.329258	-122.012053	7	400084
400103	37.839085	-122.26443	181	400103
400104	37.419313	-121.95548	8	400104
400113	37.932553	-122.326013	9	400113
400145	37.251693	-121.838501	10	400145
400203	37.822145	-122.259965	11	400203
400222	37.275395	-122.004702	12	400222
400236	37.325009	-121.892984	13	400236
400280	37.26198	-121.858479	14	400280
400284	37.630267	-122.083308	15	400284
400297	37.689523	-122.119266	16	400297
400301	37.999311	-122.28411	17	400301
400302	37.800558	-122.227577	18	400302
400308	37.800758	-122.227469	182	400308
400321	37.659179	-122.103312	19	400321
400350	37.506759	-122.33852	20	400350
400376	37.496302	-121.923874	21	400376
400394	37.364382	-121.902692	22	400394
400397	37.726891	-122.445512	23	400397
400411	37.980256	-122.317154	24	400411
400413	37.881791	-122.181562	25	400413
400422	37.715784	-122.173158	26	400422
400425	37.459416	-122.139286	27	400425
400445	37.932712	-122.325878	183	400445
400448	37.541756	-122.065675	28	400448
400449	37.419452	-121.955498	184	400449
400461	37.254781	-121.878917	29	400461
400464	37.258029	-121.962211	30	400464
400486	37.683114	-122.127218	31	400486
400503	37.646963	-122.406317	32	400503
400515	37.683298	-122.126995	33	400515
400536	37.600243	-122.061912	34	400536
400545	37.40013	-122.033628	35	400545
400563	37.325124	-121.893062	185	400563
400566	37.496212	-121.924229	186	400566
400570	37.776614	-122.236242	36	400570
400574	37.711717	-122.168258	37	400574
400577	37.249661	-121.835108	38	400577
400580	37.89816	-122.087509	39	400580
400582	37.275212	-122.004898	40	400582
400593	37.618189	-122.398826	41	400593
400596	37.987627	-122.040728	42	400596
400606	37.822295	-122.25977	187	400606
400619	37.891509	-122.132425	43	400619
400622	38.084865	-122.232917	44	400622
400646	37.689634	-122.119252	188	400646
400656	38.037559	-122.536356	45	400656
400660	37.99801	-122.285108	189	400660
400664	37.303458	-121.878143	46	400664
400666	37.67425	-122.114421	47	400666
400670	37.664733	-122.106795	48	400670
400675	37.921473	-122.336918	49	400675
400681	37.629653	-122.083176	190	400681
400683	37.56726	-122.269207	191	400683
400685	37.654859	-122.100333	50	400685
400692	37.786914	-122.196329	192	400692
400738	37.927273	-122.37421	51	400738
400742	37.25555	-121.793969	52	400742
400754	37.25151	-121.838854	193	400754
400759	37.54197	-122.065011	53	400759
400761	37.529397	-122.001271	54	400761
400766	37.647089	-122.406584	55	400766
400770	37.955597	-122.329563	56	400770
400784	37.618053	-122.399121	194	400784
400800	37.892206	-122.154409	57	400800
400809	37.542255	-122.065019	195	400809
400818	37.724817	-121.941397	58	400818
400837	37.303359	-121.878066	59	400837
400842	37.261849	-121.859205	196	400842
400853	37.5997	-122.061725	197	400853
400865	37.99336	-122.301718	60	400865
400886	37.639558	-122.405568	61	400886
400902	37.993576	-122.300133	198	400902
400904	37.395067	-122.010518	62	400904
400907	37.257815	-121.96237	199	400907
400946	37.89776	-122.086814	63	400946
400993	38.015782	-121.993063	200	400993
401003	37.659267	-122.103058	201	401003
401018	37.732647	-122.414119	64	401018
401058	38.007548	-122.276203	65	401058
401081	38.007643	-122.276369	202	401081
401083	38.010814	-122.273346	66	401083
401090	38.013374	-122.270787	203	401090
401111	37.906086	-122.069493	67	401111
401134	38.050657	-122.142601	68	401134
401148	38.050828	-122.142488	204	401148
401167	37.316984	-121.923208	69	401167
401190	37.803051	-122.279792	70	401190
401208	37.890467	-122.308444	71	401208
401223	37.507295	-122.338218	72	401223
401226	38.014164	-122.270259	205	401226
401239	37.889597	-122.308245	206	401239
401273	37.803541	-122.279977	207	401273
401318	38.201959	-122.156983	73	401318
401366	37.86958	-122.041128	74	401366
401373	37.869565	-122.040824	208	401373
401393	37.978869	-122.043278	75	401393
401399	37.979212	-122.043366	209	401399
401401	37.979004	-122.043205	210	401401
401407	37.921844	-122.061541	76	401407
401412	37.70086	-121.818662	77	401412
401434	37.724997	-121.941236	226	401434
401453	37.524638	-122.332182	78	401453
401475	37.654774	-122.100556	211	401475
401482	37.897809	-122.082484	79	401482
401483	37.816343	-122.251589	80	401483
401515	37.61287	-122.39602	81	401515
401519	37.885019	-122.054787	82	401519
401526	38.019378	-121.949271	83	401526
401537	37.988174	-122.04039	212	401537
401542	37.906311	-122.069159	213	401542
401547	37.507109	-122.338144	214	401547
401548	37.816339	-122.251805	215	401548
401566	37.885203	-122.05459	216	401566
401571	37.972099	-122.319898	84	401571
